Date,Close
5/19/2017,19.59
5/22/2017,19.47
5/23/2017,20.38
5/24/2017,20.55
5/25/2017,20.25
5/26/2017,19.74
5/30/2017,20.77
5/31/2017,20.85
6/1/2017,20.5
6/2/2017,20.26
6/5/2017,21.01
6/6/2017,20.29
6/7/2017,20.87
6/8/2017,21.85
6/9/2017,21.82
6/12/2017,21.88
6/13/2017,21.88
6/14/2017,20.68
6/15/2017,20.37
6/16/2017,20.16
6/19/2017,20.8
6/20/2017,21.08
6/21/2017,21.07
6/22/2017,21.07
6/23/2017,22.25
6/26/2017,21.8
6/27/2017,21.57
6/28/2017,22.57
6/29/2017,22.55
6/30/2017,22.14
7/3/2017,22.4
7/5/2017,22.23
7/6/2017,21.99
7/7/2017,21.45
7/10/2017,21.86
7/11/2017,22.31
7/12/2017,22.85
7/13/2017,23.71
7/14/2017,23.21
7/17/2017,23.35
7/18/2017,23.34
7/19/2017,24.47
7/20/2017,24.15
7/21/2017,23.68
7/24/2017,23.8
7/25/2017,24.44
7/26/2017,26.2
7/27/2017,25
7/28/2017,22.98
7/31/2017,23.49
8/1/2017,22.72
8/2/2017,22.81
8/3/2017,22.97
8/4/2017,23.55
8/7/2017,24.19
8/8/2017,24.17
8/9/2017,24.08
8/10/2017,23.84
8/11/2017,23.16
8/14/2017,23.33
8/15/2017,23.71
8/16/2017,24.63
8/17/2017,23.75
8/18/2017,23.7
8/21/2017,23.32
8/22/2017,24.25
8/23/2017,24.89
8/24/2017,24.81
8/25/2017,24.94
8/28/2017,25.3
8/29/2017,25.96
8/30/2017,26.85
8/31/2017,26.61
9/1/2017,26.99
9/5/2017,27.23
9/6/2017,27.51
9/7/2017,27.68
9/8/2017,26.96
9/11/2017,26.86
9/12/2017,26.66
9/13/2017,26.66
9/14/2017,25.61
9/15/2017,25.09
9/18/2017,25.53
9/19/2017,25.65
9/20/2017,25.65
9/21/2017,24.66
9/22/2017,23.83
9/25/2017,24.05
9/26/2017,24.36
9/27/2017,25.19
9/28/2017,25.44
9/29/2017,25.44
10/2/2017,26.13
10/3/2017,26.32
10/4/2017,26.46
10/5/2017,26.54
10/6/2017,26.05
10/9/2017,25.02
10/10/2017,24.98
10/11/2017,25.2
10/12/2017,25.56
10/13/2017,27.36
10/16/2017,26.67
10/17/2017,26.63
10/18/2017,27.25
10/19/2017,27.68
10/20/2017,28.43
10/23/2017,27.99
10/24/2017,28.69
10/25/2017,28.11
10/26/2017,27.69
10/27/2017,27.08
10/30/2017,26.46
10/31/2017,25.32
11/1/2017,27.3
11/2/2017,27.59
11/3/2017,27.04
11/6/2017,27.51
11/7/2017,26.95
11/8/2017,27.27
11/9/2017,27.1
11/10/2017,27.46
11/13/2017,27.62
11/14/2017,26.67
11/15/2017,27.11
11/16/2017,27.13
11/17/2017,27.28
11/20/2017,27.85
11/21/2017,28.16
11/22/2017,28.51
11/24/2017,29.21
11/27/2017,28.8
11/28/2017,28.61
11/29/2017,28.63
11/30/2017,28.92
12/1/2017,29.3
12/4/2017,29.84
12/5/2017,29.83
12/6/2017,31.11
12/7/2017,31.85
12/8/2017,33.23
12/11/2017,33.42
12/12/2017,33
12/13/2017,32.84
12/14/2017,31.73
12/15/2017,31.85
12/18/2017,33.43
12/19/2017,33.84
12/20/2017,34.37
12/21/2017,35.67
12/22/2017,35.11
12/26/2017,35.35
12/27/2017,35.02
12/28/2017,35.74
12/29/2017,35.19
1/2/2018,37.42
1/3/2018,37.49
1/4/2018,37.87
1/5/2018,38.49
1/8/2018,39.42
1/9/2018,38.41
1/10/2018,39.2
1/11/2018,39.52
1/12/2018,39.14
1/16/2018,38.67
1/17/2018,39.31
1/18/2018,39.03
1/19/2018,38.77
1/22/2018,39.31
1/23/2018,40.06
1/24/2018,39.99
1/25/2018,40.27
1/26/2018,40.95
1/29/2018,41.15
1/30/2018,38.61
1/31/2018,37.41
2/1/2018,36.61
2/2/2018,34.58
2/5/2018,34.02
2/6/2018,35.31
2/7/2018,35.33
2/8/2018,33.95
2/9/2018,34.24
2/12/2018,36.22
2/13/2018,36.8
2/14/2018,38.69
2/15/2018,38.99
2/16/2018,44.75
2/20/2018,44.83
2/21/2018,42.86
2/22/2018,42.98
2/23/2018,43.52
2/26/2018,44.37
2/27/2018,44
2/28/2018,43.51
3/1/2018,46.01
3/2/2018,45.39
3/5/2018,44.75
3/6/2018,44.53
3/7/2018,45.69
3/8/2018,44.35
3/9/2018,43.69
3/12/2018,43.57
3/13/2018,40.24
3/14/2018,38.38
3/15/2018,38.43
3/16/2018,39.96
3/19/2018,39.06
3/20/2018,38.52
3/21/2018,38.76
3/22/2018,34.5
3/23/2018,33.94
3/26/2018,35.4
3/27/2018,33.67
3/28/2018,33.54
3/29/2018,35.19
4/2/2018,34.22
4/3/2018,35
4/4/2018,34.99
4/5/2018,36.61
4/6/2018,34.49
4/9/2018,34.79
4/10/2018,35.88
4/11/2018,34.74
4/12/2018,35.88
4/13/2018,35.51
4/16/2018,35.75
4/17/2018,36.36
4/18/2018,37.5
4/19/2018,37.34
4/20/2018,36.65
4/23/2018,36.53
4/24/2018,36.47
4/25/2018,37.05
4/26/2018,37.7
4/27/2018,32.37
4/30/2018,33.83
5/1/2018,32.19
5/2/2018,32.25
5/3/2018,32.91
5/4/2018,34.52
5/7/2018,34.51
5/8/2018,34.6
5/9/2018,34.96
5/10/2018,35.9
5/11/2018,35.76
5/14/2018,36.3
5/15/2018,35.86
5/16/2018,37.51
5/17/2018,37.54
5/18/2018,36.46
5/21/2018,35.06
5/22/2018,35.81
5/23/2018,35.44
5/24/2018,35.77
5/25/2018,35.39
5/29/2018,35.22
5/30/2018,36.25
5/31/2018,36.87
6/1/2018,37.69
6/4/2018,37.27
6/5/2018,36.86
6/6/2018,37.55
6/7/2018,36.82
6/8/2018,37.16
6/11/2018,37.08
6/12/2018,37.58
6/13/2018,37.38
6/14/2018,37.62
6/15/2018,36.05
6/18/2018,36.12
6/19/2018,35.15
6/20/2018,35.73
6/21/2018,35.4
6/22/2018,36.91
6/25/2018,34.52
6/26/2018,35.33
6/27/2018,34.47
6/28/2018,34.65
6/29/2018,34.75
7/2/2018,35.13
7/3/2018,33.93
7/5/2018,34.98
7/6/2018,35.34
7/9/2018,35.53
7/10/2018,36.53
7/11/2018,36.28
7/12/2018,35.94
7/13/2018,36.21
7/16/2018,35.93
7/17/2018,36.41
7/18/2018,37.77
7/19/2018,36.93
7/20/2018,37.13
7/23/2018,37.44
7/24/2018,37.87
7/25/2018,38.26
7/26/2018,37.24
7/27/2018,37
7/30/2018,36.81
7/31/2018,36.43
8/1/2018,35.81
8/2/2018,32.13
8/3/2018,32.3
8/6/2018,31.49
8/7/2018,31.23
8/8/2018,30.77
8/9/2018,30.26
8/10/2018,29.97
8/13/2018,30.2
8/14/2018,29.97
8/15/2018,29.03
8/16/2018,29.51
